OBJECTID,NrRNET,Denominacao,EntProprietaria,EntExploradora,TipologiaET,Categoria,NrUnidAloj,NrCamasFixas,NrQuartos,NrSuites,NrApart,NrMoradias,NrCampistas,IntegraCT,DesignacaoCT,CampoGolfe,SalasReunioes,CapacSalasReunioes,SPA,OutrosEquip,DataTituloValAbert,ClassificacaoTdP,ImovelClassificado,Website,Email,Endereco,CodigoPostal,LocalidadeCP,LatLong,FiabilidadeGeo,DTMNFR,Freguesia,Concelho,Distrito,NUTSIII,NUTSII,ERT,SeloCleanSafe
1025,5495,Hotel Terra Calida Motel,TERRA CALIDA LDA,CAPRICHO DAS PALAVRAS UNIPESSOAL LDA,Hotel,2,21,42,20,1,0,0,0,NaoIntegra,,Não,Não,0,Não,Bar,1425945600000,Sim,Não,www.motelterracalida.com,geral@motelterracalida.com,Rua do Redondo S/N,3500-883,Viseu,"40,62074941 ; -7,91707147",Fiavel,182327,São João de Lourosa,Viseu,Viseu,Viseu Dão Lafões,Centro,Turismo do Centro de Portugal,Sim
1026,3580,INATEL Cerveira Hotel 4*,Fundação INATEL,Fundação INATEL,Hotel,4,100,168,96,4,0,0,0,NaoIntegra,,Não,Sim,0,Não,Kids club; Sala de jogos; Loja; Biblioteca; Business center; Bar; Restaurante; Auditório; Esplanada; Duas piscinas exteriores (adultos e crianças); Dois courts de ténis; Campo de futebol de 7; Parque infantil,1338336000000,Sim,Não,www.inatel.pt,inatel.cerveira@inatel.pt,Lovelhe,4920-236,Vila Nova de Cerveira,"41,95515505 ; -8,74285126",Fiavel,161019,União das freguesias de Vila Nova de Cerveira e Lovelhe,Vila Nova de Cerveira,Viana do Castelo,Alto Minho,Norte,Turismo do Porto e Norte de Portugal,Sim
1030,3867,Park Hotel Porto Aeroporto,PARK HOTEL PORTO AEROPORTO S A,PARK HOTEL PORTO AEROPORTO S A,Hotel,3,143,205,143,0,0,0,0,NaoIntegra,,Não,Sim,0,Não,Zona de estar/bar,1511222400000,Sim,Não,www.parkhotel.pt,geral.aeroporto@parkhotel.pt,"Av. do Aeroporto, 241",4470-558,Maia,"41,23766379 ; -8,66742942",Fiavel,130609,Moreira,Maia,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Sim
1033,5369,Holiday Inn Express Lisboa - Alfragide,"Palminvest, S.A.","Newpalm - Gestão, Exploração e Consultoria, S.A.",Hotel,3,128,256,128,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Bar,1421280000000,Sim,Não,www.ihg.com/holidayinnexpress/hotels/pt/pt/lisbon/,hielisbonalfragide@realhotelsgroup.com,"Rua Quinta do Paizinho, N.º 11",2790-236,Carnaxide,"38,72208261 ; -9,21750903",Fiavel,111013,União das freguesias de Carnaxide e Queijas,Oeiras,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
1034,3505,Hotel Magic,"HOTEL MAGIC - ACTIVIDADES HOTELEIRAS, LDA",DAVID & ROSSANA LDA,Hotel,3,19,27,19,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Bar com zona de estar,1518048000000,Sim,Não,www.hotelmagic.pt,geral@hotelmagic.pt,"Rua Mouzinho de Albuquerque, 58",2450-263,Nazaré,"39,60154428 ; -9,07146273",Fiavel,101102,Nazaré,Nazaré,Leiria,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
1035,8227,One Shot Aliados Goldsmith 12,"Silvermoments Investimentos Turísticos e Imobiliários, Lda","Silvermoments Investimentos Turísticos e Imobiliários, Lda",Hotel,4,43,80,42,1,0,0,0,NaoIntegra,,Não,Sim,35,Não,Business Center; Comércio (lojas autónomas); Sala de pequenos almoços,1545177600000,Nao,Não,,cr.aliadosgoldsmith12@oneshothotels.com,Rua do Almada 14,4050-030,Porto,"41,14618485 ; -8,61204655",Fiavel,131217,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Não
1036,6393,Hotel Eurostars Porto Douro,"Outside the Box, SA",Eurostars Porto Douro,Hotel,4,59,104,59,0,0,0,0,NaoIntegra,,Não,Sim,40,Não,Restaurante; Bar; Sala de estar; Salas Polivalentes (3);,1458604800000,Sim,Não,www.eurostarsportodouro.com,reservas@eurostarsportodouro.com,"Av. Gustavo Eiffel, 22",4000-279,Porto,"41,14209848 ; -8,60527365",Fiavel,131217,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Sim
1039,7234,Luxe Hotel,Construções Empreendimentos Urbanisticos SA,Imobimacus SA,Hotel,2,44,86,44,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Átrio com bar; Zona de estar,1517788800000,Sim,Não,,ricardomartins@turimhoteis.com,"Rua Passos Manuel, 28",1150-260,Lisboa,"38,72806977 ; -9,13663157",Fiavel,110656,Arroios,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
1042,3879,Mood,"LIKE IN, LDA","LIKE IN, LDA",Hotel,3,53,106,19,34,0,0,0,NaoIntegra,,Não,Não,0,Não,Piscina interior; Jacuzzi; Banho turco; Zona de refeições com bar,1377475200000,Sim,Não,www.moodprivate.com,hotel@moodprivate.com,"Av. Rainha Santa Isabel, n.º 1070",2870-285,Montijo,"38,70923753 ; -8,94666439",Fiavel,150710,União das freguesias de Montijo e Afonsoeiro,Montijo,Setúbal,Península de Setúbal,Península de Setúbal,Entidade Regional de Turismo da Região de Lisboa,Sim
1043,3187,Herculano Stays Porto,"BEST ECRAN, S.A.","LIMEHOME PORTUGAL, UNIPESSOAL LDA",Hotel,2,56,111,56,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Sala de pequenos almoços,1313107200000,Sim,Não,,comunicaciones@limehome.com,"Rua Alexandre Herculano, 296",4000-053,Porto,"41,14423699 ; -8,60509244",Fiavel,131217,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Sim
1048,8349,Maxime Hotel,"Sociedade de Construções João Bernardino Gomes, S.A.","Bernardino Gomes - Gestão Hoteira, S.A.",Hotel,3,75,149,75,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Bar; Sala de estar; Sala de refeições,1551916800000,Sim,Não,https://www.maximehotellisbon.com,lucia.marques@realhotelsgroup.com,"Praça da Alegria, N.º 58",1250-004,Lisboa,"38,71843313 ; -9,14548229",Fiavel,110666,Santo António,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
1050,10235,New Style Lisbon Hotel,Celestino Pais Baptista,"Manuel dos Santos Marques, Lda.",Hotel,3,45,76,45,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1649808000000,Sim,Não,www.newstyle.pt,geral@newstyle.pt,"Avenida Almirante Reis, 53",1150-011,LISBOA,"38,7250489 ; -9,13528824",Fiavel,110656,Arroios,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
1052,9375,Hotel Mabi,José Jorge pereira santejo,ALVES & SANTEJO LDA,Hotel,1,11,22,11,0,0,0,0,NaoIntegra,,Não,Não,0,Não,,1598486400000,Sim,Não,,hotelmabivalenca@gmail.com,Estrada da Branqueta nº 117,4930-682,Valença,"42,03024443 ; -8,63161506",Fiavel,160820,"União das freguesias de Valença, Cristelo Covo e Arão",Valença,Viana do Castelo,Alto Minho,Norte,Turismo do Porto e Norte de Portugal,Não
1053,12406,LIMEHOME DEFENSORES DE CHAVES 95,"GATE ONE INVESTMENTS, LIMITED","LIMEHOME PORTUGAL, UNIPESSOAL LDA",HotelApartamento,3,38,76,0,0,38,0,0,NaoIntegra,,Não,Não,0,Não,-,1597881600000,Sim,Não,www.limehome.com,comunicaciones@limehome.com,Av. Defensores de Chaves 95,1000-121,LISBOA,"38,74116331 ; -9,14508048",Fiavel,110657,Avenidas Novas,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
1057,8795,Terrace Serra Hotel,TOMAS & MARIA - RESTAURANTE & RESIDENCE LDA,TOMAS & MARIA - RESTAURANTE & RESIDENCE LDA,Hotel,3,18,32,16,2,0,0,0,NaoIntegra,,Não,Sim,100,Não,,1576540800000,Nao,Não,www.terraceserra.pt,paulo@terraceserra.pt,"Estrada da Ponte Pedrinha, 33 - sitio casal dois",6200-738,Tortosendo,"40,23456642 ; -7,4988714",Fiavel,050324,Tortosendo,Covilhã,Castelo Branco,Beiras e Serra da Estrela,Centro,Turismo do Centro de Portugal,Sim
1058,4588,Meliá Lisboa Aeroporto,HOTTI - AEROPORTO HOTEL S A,HOTTI - AEROPORTO HOTEL S A,Hotel,4,167,336,165,0,2,0,0,NaoIntegra,,Não,Sim,850,Sim,Bar; Restaurante; Sala de Reuniões; Piscinas exteriores de adultos e crianças,1389916800000,Sim,Não,www.melialisboaaeroporto.com,geral@hotihoteis.com,"Rua C, Número 2, Aeroporto Internacional de Lisboa",1749-125,Lisboa,"38,77031811 ; -9,12505645",Fiavel,110633,Olivais,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
1064,8624,Turim Boulevard Hotel,Palpitecapital SA,"WISDOMDRAGON - INVESTIMENTOS IMOBILI?RIOS, S.A.",Hotel,5,100,130,98,2,0,0,0,NaoIntegra,,Não,Não,0,Não,Restaurante/Bar/Sala pequenos-almoços; Área de estar; 4 lojas; Piscina; Esplanada,1562284800000,Sim,Não,,dirgeral@turimhoteis.com,Avenida da Liberdade 159,1250-143,Lisboa,"38,71978108 ; -9,14600999",Fiavel,110666,Santo António,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
1068,11919,Hotel o Viajante,"Jorge Manuel C. Caldeira, Soc. Unip. lda","Jorge Manuel C. Caldeira, Soc. Unip. lda",Hotel,1,10,16,10,0,0,0,0,NaoIntegra,,Não,Não,0,Não,-,1716854400000,Sim,Não,,hoteloviajante@sapo.pt,Maria Ruiva - Arcos - Estremoz,7100-033,ARCOS ETZ,"38,82047862 ; -7,49056525",Fiavel,070401,Arcos,Estremoz,Évora,Alentejo Central,Alentejo,Turismo do Alentejo,Não
1071,5422,Hotel HS Milfontes Beach,Santa Casa da Misericórdia,DUNA PARQUE GESTAO EMPREENDIMENTOS TURISTICOS SA,Hotel,4,37,74,27,0,10,0,0,NaoIntegra,,Não,Sim,0,Não,Sala de eventos e piscina exterior,1425600000000,Sim,Não,www..hsmilfontesbeach.com,geral@hsmilfontesbeach.com,Avenida Marginal,7645-272,Vila Nova de Milfontes,"37,72377581 ; -8,78400434",Fiavel,021111,Vila Nova de Milfontes,Odemira,Beja,Alentejo Litoral,Alentejo,Turismo do Alentejo,Sim
1074,8635,"Boeira Garden Hotel, Curio Collection by Hilton","Oporto Boeira Garden Hotel, Lda","Oporto Boeira Garden Hotel, Lda",Hotel,5,124,248,119,5,0,0,0,NaoIntegra,,Não,Sim,200,Sim,SPA com piscina interior; 2 salas polivalentes; Restaurante; Bar,1566777600000,Sim,Não,www.boeiragardenhotelporto.curiocollection.com,ines.matos@hilton.com,Rua Teixeira Lopes 114,4400-320,Vila Nova de Gaia,"41,12764994 ; -8,61246956",Fiavel,131736,Mafamude,Vila Nova de Gaia,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Sim
1080,4208,Convento da Sertã Hotel,Câmara Municipal da Sertã,"Turisertã, S.A.",Hotel,4,25,49,23,2,0,0,0,NaoIntegra,,Não,Sim,0,Sim,Zona de estar com bar; Sala polivalente; Piscina exterior de adultos; Solário,1380758400000,Sim,Sim,www.conventodasertahotel.pt,geral@conventodasertahotel.pt,Alameda da Carvalha,6100-730,Sertã,"39,80100863 ; -8,10002341",Fiavel,050912,Sertã,Sertã,Castelo Branco,Beira Baixa,Centro,Turismo do Centro de Portugal,Sim
1083,5050,Holiday Inn Express Lisboa - Av. da Liberdade,"Palminvest, S.A.","Newpalm - Gestão, Exploração e Consultoria, S.A.",Hotel,3,108,216,108,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Business Center,1413417600000,Sim,Sim,https://www.hielisboaliberdade.pt,hielisboncity@realhotelsgroup.com,"Rua Alexandre Herculano, N.º 40",1250-011,Lisboa,"38,72252042 ; -9,15049948",Fiavel,110666,Santo António,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
1090,4220,Hotel Olissippo Saldanha,"M. C. DUARTE, S.A.","Sociedade Hoteleira Seoane,",Hotel,4,49,98,48,1,0,0,0,NaoIntegra,,Não,Não,0,Não,Sala polivalente; Zona de estar; Bar,1365724800000,Sim,Não,www.olissippohotels.com,helder.figueiredo@olissippohotels.com,"Av. Defensores de Chaves, 17-17A, gaveto com a Av. Praia da Vitória, 30-30A",1000-248,Lisboa,"38,73414476 ; -9,14337475",Fiavel,110656,Arroios,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
1092,5296,TEMPUS HOTEL & SPA,MOUNTAIN PARK - EMPREENDIMENTOS TURISTICOS E IMOB,MOUNTAIN PARK - EMPREENDIMENTOS TURISTICOS E IMOB,Hotel,4,28,56,26,0,2,0,0,NaoIntegra,,Não,Não,0,Sim,Piscinas interior e exterior,1427414400000,Sim,Não,www.hoteltempus.com,mountain.park@sapo.pt,"Rua de Oleiros, 1190 - QUINTÃO- Oleiros",4980-521,Oleiros Ptb,"41,794816323654 ; -8,43438925492735",Fiavel,160614,Oleiros,Ponte da Barca,Viana do Castelo,Alto Minho,Norte,Turismo do Porto e Norte de Portugal,Sim
1093,4520,Hotel Rubi,M GRACA CAMPOS LDA,M GRACA CAMPOS LDA,Hotel,1,17,30,17,0,0,0,0,,,Não,Não,0,Não,,1522713600000,Sim,Não,www.hotelrubi.pt,hotelrubi@hotelrubi.pt,Via Caçador,3505-577,Viseu,"40,64414622 ; -7,8651179",Fiavel,182323,Rio de Loba,Viseu,Viseu,Viseu Dão Lafões,Centro,Turismo do Centro de Portugal,Não
1094,11624,TURIM TERREIRO DO PAÇO HOTEL,Turnave SA,IMOBIMACUS SOC ADMINISTRADORA DE IMOVEIS SA,Hotel,3,50,67,50,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Bar,1466812800000,Sim,Não,www.turim-hotels.com,dirgeral@turimhoteis.com,Rua do Comercio 1-13,1100-016,LISBOA,"38,70918653 ; -9,13499742",Fiavel,110665,Santa Maria Maior,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
1095,6522,Hotel Lux Lisboa Park,"LUX MUNDI-EMPREENDIMENTOS HOTELEIROS, S.A.","LUX MUNDI-EMPREENDIMENTOS HOTELEIROS, S.A.",Hotel,4,95,190,95,0,0,0,0,NaoIntegra,,Não,Sim,400,Sim,Restaurante;Sala Kosher; ginásio; salas de massagens/hidromassagem; Lounge bar; salas de reuniões; Piscina Interior com solárioBar,1463961600000,Sim,Não,www.luxhotels.pt,lux.lisboa@luxhotels.pt,"Rua Padre António Vieira, nº 32 a 34",1070-197,Lisboa,"38,72780307 ; -9,15855908",Fiavel,110657,Avenidas Novas,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
1098,4156,Hotel Vila Galé Collection Palácio dos Arcos,Município de Oeiras,VILA GALE - SOCIEDADE DE EMPREENDIMENTOS TURISTIC,Hotel,5,76,152,71,5,0,0,0,NaoIntegra,,Não,Sim,200,Sim,Restaurante; Bar; Sala de prova de vinhos; Biblioteca com business center; Sala de espólio; Sala de conferências / auditório; Piscina exterior; Solário; Esplanada; Jardim,1373587200000,Sim,Não,www.vilagale.com,palacio@vilagale.com,"Largo Conde das Alcáçovas, 3",2770-031,Paço de Arcos,"38,69645965 ; -9,28924257",Fiavel,111014,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",Oeiras,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
1100,3330,HF Fénix Lisboa,Husa Hotéis Unidos SA,"Expotel, Exploração e Administração Hoteleira, Lda.",Hotel,4,193,361,189,4,0,0,0,NaoIntegra,,Não,Sim,300,Não,"Restaurante; Bar; Salas de reunião (7); Zona de estar, Esplanada e Áreas ajardinadas ",1259280000000,Sim,Sim,www.hfhotels.com,hfcompliance@hfhotels.com,"Praça Marquês de Pombal, 8",1269-133,Lisboa,"38,72478518 ; -9,15135254",Fiavel,110666,Santo António,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
1101,3776,INATEL Castelo de Vide São Paulo,Fundação INATEL,Fundação INATEL,Hotel,2,16,32,16,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Bar; Sala de leitura; Sala de jogos,1349136000000,Sim,Não,www.inatel.pt,inatel.cvide@inatel.pt,Rua Alexandre Herculano,7320-114,Castelo de Vide,"39,41367961 ; -7,4547209",Fiavel,120504,São João Baptista,Castelo de Vide,Portalegre,Alto Alentejo,Alentejo,Turismo do Alentejo,Sim
1102,3750,INATEL Castelo de Vide Jardim,Fundação INATEL,Fundação INATEL,Hotel,3,21,40,21,0,0,0,0,NaoIntegra,,Não,Não,0,Não, ,1349136000000,Nao,Não,www.inatel.pt,inatel.cvide@inatel.pt,"Rua Sequeira Sameiro, n.º 6",7320-138,Castelo de Vide,"39,41372047 ; -7,45413167",Fiavel,120504,São João Baptista,Castelo de Vide,Portalegre,Alto Alentejo,Alentejo,Turismo do Alentejo,Sim
1105,3495,Hotel Kátia,ANA MARIA RODRIGUES VALONGUEIRO LAMPA?A,ANA MARIA RODRIGUES VALONGUEIRO LAMPA?A,Hotel,2,16,32,16,0,0,0,0,NaoIntegra,,Não,Não,0,Não, ,1304985600000,Nao,Não,,anavalongueiro@sapo.pt,"Rua do Sol, nº 32",5400-517,Chaves,"41,738184 ; -7,4694924",Fiavel,170350,Santa Maria Maior,Chaves,Vila Real,Alto Tâmega e Barroso,Norte,Turismo do Porto e Norte de Portugal,Sim
1106,4249,Surfers Lodge,SURF LODGE PORTUGAL LDA,SURF LODGE PORTUGAL LDA,Hotel,4,17,24,15,2,0,0,0,NaoIntegra,,Não,Não,0,Não,Sala de massagem; Terraço com esplanada; Bar; Piscina,1379030400000,Sim,Não,www.surferslodgepeniche.com,info@surferslodgepeniche.com,"Avenida do Mar, 132",2520-050,Ferrel,"39,37057579 ; -9,32846108",Fiavel,101406,Ferrel,Peniche,Leiria,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Sim
1108,9593,Hotel Eurostars Aliados,"Three Mind, S.A",SOCIEDADE HOTELEIRA DA RUA DO CASTILHO UNIPESSOAL,Hotel,5,149,298,138,11,0,0,0,NaoIntegra,,Não,Sim,70,Sim,Restaurante/Bar,1602115200000,Sim,Não,www.eurostarsaliados.com,fom@eurostarsaliados.com,"Av. dos Aliados, 211",4000-067,Porto,"41,14880852 ; -8,61146554",Fiavel,131217,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Sim
1109,6369,Garça Real Hotel & Spa,REQUINTES & VIRTUDES - UNIPESSOAL LDA,QUIMERA POETICA - LDA,Hotel,4,36,72,36,0,0,0,0,NaoIntegra,,Sim,Sim,104,Sim,"Auditório, Ginásio, Sala de massagens,Piscina exterior; Golfe 9 buracos",1466553600000,Sim,Não,,requintesevirtudes@gmail.com,Rua José Laranjeiro Lopes de Almeida - Coutada,3140-166,Meãs do Campo,"40,20595432 ; -8,62899098",Fiavel,061006,Meãs do Campo,Montemor-o-Velho,Coimbra,Região de Coimbra,Centro,Turismo do Centro de Portugal,Sim
1112,5399,Lisotel,"Tubofuro, Tubos em Pvc, S.A.","Lisotel - Hotel & Spa, Lda.",Hotel,4,37,74,32,5,0,0,0,NaoIntegra,,Não,Sim,40,Não,Bar; Sala polivalente,1426550400000,Sim,Não,www.lisotel.com,info@lisotel.com,"E. N 109 - Km161,4",2415-206,Regueira de Pontes,"39,80760399 ; -8,84272917",Fiavel,100921,Regueira de Pontes,Leiria,Leiria,Região de Leiria,Centro,Turismo do Centro de Portugal,Sim
1113,6069,Douro Royal Valley Hotel & Spa,"J A S E - JOAQUIM AFONSO & SALVADOR - EMPREENDIMENTOS TURÍSTICOS, LDA.","J A S E - JOAQUIM AFONSO & SALVADOR - EMPREENDIMENTOS TURÍSTICOS, LDA.",Hotel,5,69,138,63,6,0,0,0,NaoIntegra,,Não,Sim,300,Sim,SPA; Bar; Piscina interior; Piscina exterior; Ginásio; Kid's club; salas de reuniões; Campo de Ténis; Área de espaços verdes de utilização comum,1443657600000,Sim,Não,www.douroroyal.com,reservas@douroroyal.com,Lugar de Portela do Rio,4640-400,Ribadouro,"41,10321358 ; -8,09450977",Fiavel,130221,União das freguesias de Ancede e Ribadouro,Baião,Porto,Tâmega e Sousa,Norte,Turismo do Porto e Norte de Portugal,Sim
1117,4515,Plácido Hotel Douro Tabuaço,BELEZA DO MONTE - DESENVOLVIMENTO TURISTICO E IMO,BELEZA DO MONTE - DESENVOLVIMENTO TURISTICO E IMO,Hotel,4,84,168,59,25,0,0,0,NaoIntegra,,Não,Sim,300,Não,Restaurante; Sala de festas; Sala de jogos; Sala de reuniões; Sala de convivio,1377820800000,Sim,Não,www.hoteldourotabuaco.com,geral@hoteldourotabuaco.com,Quinta de São Plácido,5120-413,Tabuaço,"41,11939134 ; -7,58332053",Fiavel,181914,Tabuaço,Tabuaço,Viseu,Douro,Norte,Turismo do Porto e Norte de Portugal,Sim
1122,6577,Boticas Hotel - Art & SPA,Período Azul - Actividades Hoteleiras e Artística,Período Azul - Actividades Hoteleiras e Artística,Hotel,4,44,88,42,2,0,0,0,NaoIntegra,,Não,Sim,30,Sim,"Restaurante; Bar; SPA (com piscina interior, jacuzzi, sauna, banho turco, duche escocês, duche vichy, salas de tratamentos, ginásio); Sala de reuniões; Business Center; Piscina exterior",1472169600000,Sim,Não,www.boticashotel.com,artur@boticashotel.com,"Rua Gomes Monteiro, s/n",5460-304,Boticas,"41,68663326 ; -7,66869127",Fiavel,170219,Boticas e Granja,Boticas,Vila Real,Alto Tâmega e Barroso,Norte,Turismo do Porto e Norte de Portugal,Sim
1124,4037,Hotel da Música,"MERCADO URBANO GESTÃO IMOBILIÁRIA, S.A.",HOTI - BOM SUCESSO HOTEIS S A,Hotel,4,85,170,84,1,0,0,0,NaoIntegra,,Não,Sim,175,Não,Zonas de estar; Bar; Sala polivalente; Business center,1371081600000,Sim,Sim,www.hoteldamusica.com,geral@hotihoteis.com,Largo Ferreia Lapa 21 a 183,4150-323,Porto,"41,1558141 ; -8,6291154",Fiavel,131218,União das freguesias de Lordelo do Ouro e Massarelos,Porto,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Sim
1125,4497,Vale Grande hotel,"Vale Grande Hotel - Sociedade Unipessoal, Lda.","Vale Grande Hotel - Sociedade Unipessoal, Lda.",Hotel,3,11,21,11,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Área de estar; Bar; Zona de internet; Sala de refeições (50 lugares),1389225600000,Sim,Não,www.valegrandehotel.com.pt,valegrandehotel@gmail.com,"Largo do Vale Grande, nº4",2065-284,Alcoentre,"39,24204969 ; -8,95342219",Fiavel,110301,Alcoentre,Azambuja,Lisboa,Lezíria do Tejo,Oeste e Vale do Tejo,Turismo do Alentejo,Não
1128,5901,The 7 Hotel,BLUE QUEEN - HOTELS LDA,BLUE QUEEN - HOTELS LDA,Hotel,3,71,135,56,4,11,0,0,NaoIntegra,,Não,Não,0,Não,,1621555200000,Sim,Não,www.the7hotel.com,contabilidade@the7hotel.com,Rua Aurea nr. 133 a 143,1100-060,Lisboa,"38,71032224 ; -9,13860778",Fiavel,110665,Santa Maria Maior,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Sim
1129,13201,Hotel Flor do Minho,HOTEL FLOR MINHO LDA,HOTEL FLOR MINHO LDA,Hotel,3,25,45,23,2,0,0,0,NaoIntegra,,Não,Não,0,Não,,1769731200000,Nao,Não,,hotelflordominho@gmail.com,"Rua e Cabanas, Nº 13",4930-710,VALENÇA,"42,02907169 ; -8,63445756",Fiavel,160820,"União das freguesias de Valença, Cristelo Covo e Arão",Valença,Viana do Castelo,Alto Minho,Norte,Turismo do Porto e Norte de Portugal,Não
1130,6012,Hotel Parque Serra da Lousã,HSL - HOTEL SERRA DA LOUSÃ UNIPESSOAL LDA,HSL - HOTEL SERRA DA LOUS? UNIPESSOAL LDA,Hotel,4,40,80,37,3,0,0,0,NaoIntegra,,Não,Sim,70,Sim,Bar; Restaurante; Business center; Sala de reuniões; SPA; Piscina interior; Jacuzzi; Banho turco; Sauan; Ginásio; Esplanada; Campo polidesportivo; Campo de ténis,1443571200000,Sim,Não,www.hotelparqueserradalousa.pt,geral@hotelparqueserradalousa.pt,"Parque Biológico Serra da Lousã, S/N",3220-154,Miranda do Corvo,"40,08376462 ; -8,33518635",Fiavel,060902,Miranda do Corvo,Miranda do Corvo,Coimbra,Região de Coimbra,Centro,Turismo do Centro de Portugal,Sim
1132,6088,Montebelo Vista Alegre Ílhavo Hotel,VAA - EMPREENDIMENTOS TURISTICOS S A,VAA - EMPREENDIMENTOS TURISTICOS S A,Hotel,5,162,342,110,30,22,0,0,NaoIntegra,,Não,Sim,0,Sim,"Salas reuniões; sala jogos; spa (com 3 gabinetes massagem, sala de relaxamento, ginásio, piscinas interiores adultos e crianças, jacuzzi, banho turco, sauna); sala multiusos; núcleo museológico; ginásio; 2 salas de eventos; áreas ajardinadas; 2 piscinas.",1444867200000,Sim,Sim,www.hotelmontebelovistaalegre.pt,montebelovistaalegre@montebelohotels.com,"Estrada da Ponte, nº 10",3830-309,Ílhavo,"40,58877407 ; -8,68480817",Fiavel,011008,Ílhavo (São Salvador),Ílhavo,Aveiro,Região de Aveiro,Centro,Turismo do Centro de Portugal,Sim
1133,11697,"Cénica Porto Hotel, Curio Collection by Hilton",GCMH - ATIVIDADES TURISTICAS LDA,GCMH - ATIVIDADES TURISTICAS LDA,Hotel,5,125,221,121,3,1,0,0,NaoIntegra,,Não,Sim,100,Sim,Piscina interior; Ginásio; Restaurante com esplanada; Lojas (2); Sala multiusos; Business center; Bar com zona de estar,1678924800000,Nao,Não,,ppinto@ihsp.pt,"Rua Gonçalo Cristóvão, n.ºs 156",4000-265,PORTO,"41,15389487 ; -8,60827243",Fiavel,131217,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Não
1135,4087,INATEL Albufeira Praia Hotel 3*,Fundação INATEL,Fundação INATEL,Hotel,3,110,220,94,16,0,0,0,NaoIntegra,,Não,Não,0,Não,Restaurante; Bar; Esplanada,1373241600000,Sim,Não,www.inatel.pt,inatel.albufeira@inatel.pt,"Av. Infante D. Henrique, Albufeira",8200-261,Albufeira,"37,08602041 ; -8,24373488",Fiavel,080106,Albufeira e Olhos de Água,Albufeira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Sim
